#A) Alla behöriga sökande är antagna B) Ingen sökande är antagen på programmet C) Antagning görs på meritvärde och test / inträdesprov
#E) Skolan har egen antagning F) Program startar ej G) Meritvärde består av betyg + prov
Bygg- och anläggningsprogrammet , PEAB-skolan Malmö A 190.0
Bygg- och anläggningsprogrammet - lärling , Malmö Lärlingscenter A 170.0
Bygg- och anläggningsprogrammet - lärling , Yrkesgymnasiet Malmö A 172.0
Bygg- och anläggningsprogrammet - Måleri , TAU Learning Hantverksgymnasium Malmö B
Bygg- och anläggningsprogrammet - Plåtslageri , Praktiska Malmö City A 177.0
Barn- och fritidsprogrammet , Värnhemsskolan Malmö A 188.0
Barn- och fritidsprogrammet - Fritid och hälsa - Idrottspecialisering, Fria Läroverken Malmö A 182.0
Barn- och fritidsprogrammet - lärling , Malmö Lärlingscenter A 190.0
Barn- och fritidsprogrammet - Pedagogiskt arbete , Praktiska Malmö City A 191.0
El- och energiprogrammet , Design & Construction College Malmö A 199.0
El- och energiprogrammet - Automation , Praktiska Malmö Limhamn B
El- och energiprogrammet - Dator och kommunikationsteknik - För elev med neuropsyk. funktionsnedsättning, Snitz gymnasium Malmö A 153.0
El- och energiprogrammet - Dator- och kommunikationsteknik , NTI-gymnasiet Malmö A 198.0
El- och energiprogrammet - Dator- och kommunikationsteknik , Cybergymnasiet Malmö A 179.0
El- och energiprogrammet - Elteknik , Cybergymnasiet Malmö A 162.0
El- och energiprogrammet - Elteknik , Praktiska Malmö Limhamn A 166.0
El- och energiprogrammet - Elteknik , Universitetsholmens gymnasium Malmö 155.0 212.0
El- och energiprogrammet - Elteknik - lärling , Malmö Lärlingscenter A 136.0
El- och energiprogrammet - Elteknik - lärling , Yrkesgymnasiet Malmö A 185.0
Ekonomiprogrammet , Hermods Gymnasium 212.5 241.0
Ekonomiprogrammet , Thoren Business School Malmö 197.5 227.0
Ekonomiprogrammet - Ekonomi , Malmö Borgarskola 247.5 265.0
Ekonomiprogrammet - Ekonomi - Engelskspråkig, Malmö Borgarskola 230.0 257.0
Ekonomiprogrammet - Ekonomi , Plusgymnasiet Malmö A 221.0
Ekonomiprogrammet - Ekonomi , Fria Läroverken Malmö A 199.0
Ekonomiprogrammet - Ekonomi - Idrottspecialisering, Fria Läroverken Malmö A 194.0
Ekonomiprogrammet - Ekonomi , Jensen Gymnasium Malmö A 202.0
Ekonomiprogrammet - Ekonomi - Idrott, Malmö Idrottsgymnasium 237.5 275.0
Ekonomiprogrammet - Ekonomi , Kunskapsgymnasiet Malmö A 218.0
Ekonomiprogrammet - Ekonomi , ProCivitas Privata Gymnasium Malmö 287.5 305.0
Ekonomiprogrammet - Juridik , Malmö Borgarskola 225.0 256.0
Ekonomiprogrammet - Juridik , Fria Läroverken Malmö B
Ekonomiprogrammet - Juridik - Idrottspecialisering, Fria Läroverken Malmö B
Ekonomiprogrammet - Juridik , Jensen Gymnasium Malmö A 191.0
Estetiska programmet - För elev med neuropsyk. funktionsnedsättning, Snitz gymnasium Malmö A 159.0
Estetiska programmet - Bild och formgivning , Malmö latinskola A 233.0
Estetiska programmet - Bild och formgivning , Cybergymnasiet Malmö A 157.0
Estetiska programmet - Bild och formgivning , Bryggeriets gymnasium Malmö A 215.0
Estetiska programmet - Bild och formgivning - Design, Drottning Blankas Gymnasieskola Malmö A 226.0
Estetiska programmet - Estetik och media , Malmö latinskola A 236.0
Estetiska programmet - Estetik och media , NTI-gymnasiet Malmö A 245.0
Estetiska programmet - Estetik och media , 4ans gymnasium Malmö A 170.0
Estetiska programmet - Estetik och media , Cybergymnasiet Malmö A 226.0
Estetiska programmet - Estetik och media , Bryggeriets gymnasium Malmö A 224.0
Estetiska programmet - Musik - Instrument/Sång, Rytmus Malmö A 239.0
Estetiska programmet - Musik - Musikproduktion, Rytmus Malmö A 221.0
Estetiska programmet - Musik - Singer/Songwriter, Rytmus Malmö 180.0 215.0
Estetiska programmet - Musik , Malmö latinskola 160.0 249.0
Estetiska programmet - Musik - Spetsutbildning i Musik, Malmö latinskola C 308.0
Estetiska programmet - Teater , Malmö latinskola A 239.0
Estetiska programmet - Teater , Cybergymnasiet Malmö A 202.0
Fordons- och transportprogrammet , Framtidsgymnasiet Malmö A 179.0
Fordons- och transportprogrammet , Agnesfrids gymnasium Malmö A 175.0
Fordons- och transportprogrammet - lärling , Malmö Lärlingscenter B
Fordons- och transportprogrammet - Personbil , Praktiska Malmö Limhamn A 174.0
Fordons- och transportprogrammet - Personbil - lärling , Yrkesgymnasiet Malmö A 190.0
Fordons- och transportprogrammet - Transport , Agnesfrids gymnasium Malmö A 184.0
Handels- och administrationsprogrammet , Värnhemsskolan Malmö A 163.0
Handels- och administrationsprogrammet - Handel och service , Praktiska Malmö City A 154.0
Handels- och administrationsprogrammet - Handel och service , Fria Läroverken Malmö A 159.0
Handels- och administrationsprogrammet - Handel och service - Idrott, Malmö Idrottsgymnasium A 196.0
Handels- och administrationsprogrammet - Handel och service , Design & Construction College Malmö A 212.0
Handels- och administrationsprogrammet - Handel och service - lärling , Yrkesgymnasiet Malmö A 214.0
Handels- och administrationsprogrammet - lärling , Malmö Lärlingscenter A 156.0
Hotell- och turismprogrammet , Värnhemsskolan Malmö A 194.0
Hotell- och turismprogrammet - Hotell och konferens , Fria Läroverken Malmö A 228.0
Hotell- och turismprogrammet - lärling , Malmö Lärlingscenter A 189.0
Hotell- och turismprogrammet - Turism och resor , Design & Construction College Malmö A 183.0
Humanistiska programmet , Malmö latinskola A 257.0
Humanistiska programmet - Språk , Cybergymnasiet Malmö A 231.0
Hantverksprogrammet - Finsnickeri - Interiör och design, TAU Learning Hantverksgymnasium Malmö B
Hantverksprogrammet - Finsnickeri - Möbeldesign, TAU Learning Hantverksgymnasium Malmö A 210.0
Hantverksprogrammet - Finsnickeri - lärling , Malmö Lärlingscenter B
Hantverksprogrammet - Florist - lärling , Malmö Lärlingscenter B
Hantverksprogrammet - Frisör , Cybergymnasiet Malmö A 172.0
Hantverksprogrammet - Frisör , Värnhemsskolan Malmö A 180.0
Hantverksprogrammet - Frisör , Fria Läroverken Malmö A 207.0
Hantverksprogrammet - Frisör - lärling , Malmö Lärlingscenter A 186.0
Hantverksprogrammet - Hudvård , Praktiska Malmö Limhamn A 212.0
Hantverksprogrammet - Hår- och makeupstylist , Plusgymnasiet Malmö A 186.0
Hantverksprogrammet - Hår- och makeupstylist , Värnhemsskolan Malmö A 254.0
Hantverksprogrammet - Hår- och makeupstylist , Praktiska Malmö Limhamn A 229.0
Hantverksprogrammet - Hår- och makeupstylist , Drottning Blankas Gymnasieskola Malmö A 198.0
Hantverksprogrammet - Hår- och makeupstylist - lärling , Malmö Lärlingscenter A 187.0
Hantverksprogrammet - Låssmed , Praktiska Malmö Limhamn A 197.0
Hantverksprogrammet - Textil design , TAU Learning Hantverksgymnasium Malmö A 245.0
Hantverksprogrammet - Textil design - lärling , Malmö Lärlingscenter B
Hantverksprogrammet - Övriga hantverk - lärling , Malmö Lärlingscenter A 206.0
