Bygg- och anläggningsprogrammet , PEAB-skolan Malmö 107.5 176.0
Bygg- och anläggningsprogrammet - lärling , Malmö Lärlingscenter A 161.0
Bygg- och anläggningsprogrammet - lärling , Yrkesgymnasiet Malmö A 175.0
Bygg- och anläggningsprogrammet - Måleri , TAU Learning Hantverksgymnasium Malmö A 175.0
Bygg- och anläggningsprogrammet - Plåtslageri , Praktiska Malmö City A 182.0
Barn- och fritidsprogrammet , Värnhemsskolan Malmö A 144.0
Barn- och fritidsprogrammet - Fritid och hälsa - Idrottspecialisering, Fria Läroverken Malmö A 180.0
Barn- och fritidsprogrammet - lärling , Malmö Lärlingscenter A 181.0
Barn- och fritidsprogrammet - Pedagogiskt arbete , Praktiska Malmö City A 140.0
El- och energiprogrammet - Automation , Praktiska Malmö Limhamn B
El- och energiprogrammet - Dator och kommunikationsteknik - För elev med neuropsyk. funktionsnedsättning, Snitz gymnasium Malmö A 167.0
El- och energiprogrammet - Dator- och kommunikationsteknik , NTI-gymnasiet Malmö A 179.0
El- och energiprogrammet - Dator- och kommunikationsteknik , Cybergymnasiet Malmö 170.0 201.0
El- och energiprogrammet - Elteknik , Cybergymnasiet Malmö A 160.0
El- och energiprogrammet - Elteknik , Praktiska Malmö Limhamn A 170.0
El- och energiprogrammet - Elteknik , Universitetsholmens gymnasium Malmö 195.0 229.0
El- och energiprogrammet - Elteknik - lärling , Malmö Lärlingscenter 117.5 134.0
El- och energiprogrammet - Elteknik - lärling , Yrkesgymnasiet Malmö 175.0 205.0
Ekonomiprogrammet , Hermods Gymnasium 212.5 236.0
Ekonomiprogrammet , Thoren Business School Malmö 197.5 231.0
Ekonomiprogrammet - Ekonomi , Malmö Borgarskola 267.5 285.0
Ekonomiprogrammet - Ekonomi - Engelskspråkig, Malmö Borgarskola 242.5 268.0
Ekonomiprogrammet - Ekonomi , Plusgymnasiet Malmö 187.5 236.0
Ekonomiprogrammet - Ekonomi , Fria Läroverken Malmö A 191.0
Ekonomiprogrammet - Ekonomi - Idrottspecialisering, Fria Läroverken Malmö A 201.0
Ekonomiprogrammet - Ekonomi , Jensen Gymnasium Malmö 167.5 204.0
Ekonomiprogrammet - Ekonomi - Idrott, Malmö Idrottsgymnasium 242.5 287.0
Ekonomiprogrammet - Ekonomi , Kunskapsgymnasiet Malmö A 211.0
Ekonomiprogrammet - Ekonomi , ProCivitas Privata Gymnasium Malmö 305.0 320.0
Ekonomiprogrammet - Juridik , Malmö Borgarskola 250.0 273.0
Ekonomiprogrammet - Juridik , Fria Läroverken Malmö A 247.0
#A) Alla behöriga sökande är antagna B) Ingen sökande är antagen på programmet C) Antagning görs på meritvärde och test / inträdesprov
#E) Skolan har egen antagning F) Program startar ej G) Meritvärde består av betyg + prov
Ekonomiprogrammet - Juridik - Idrottspecialisering, Fria Läroverken Malmö
Ekonomiprogrammet - Juridik , Jensen Gymnasium Malmö A 199.0
Estetiska programmet - För elev med neuropsyk. funktionsnedsättning, Snitz gymnasium Malmö A 158.0
Estetiska programmet - Bild och formgivning , Malmö latinskola 225.0 267.0
Estetiska programmet - Bild och formgivning , Cybergymnasiet Malmö A 177.0
Estetiska programmet - Bild och formgivning , Bryggeriets gymnasium Malmö A 215.0
Estetiska programmet - Estetik och media , Malmö latinskola 192.5 250.0
Estetiska programmet - Estetik och media , 4ans gymnasium Malmö A 171.0
Estetiska programmet - Estetik och media , Cybergymnasiet Malmö A 207.0
Estetiska programmet - Estetik och media , Bryggeriets gymnasium Malmö A 217.0
Estetiska programmet - Musik - Instrument/Sång, Rytmus Malmö A 232.0
Estetiska programmet - Musik - Musikproduktion, Rytmus Malmö A 214.0
Estetiska programmet - Musik - Singer/Songwriter, Rytmus Malmö A 236.0
Estetiska programmet - Musik , Malmö latinskola 227.5 277.0
Estetiska programmet - Musik - Spetsutbildning i Musik, Malmö latinskola C 327.0
Estetiska programmet - Teater , Malmö latinskola 185.0 246.0
Estetiska programmet - Teater , Cybergymnasiet Malmö A 207.0
Fordons- och transportprogrammet , Framtidsgymnasiet Malmö A 178.0
Fordons- och transportprogrammet , Agnesfrids gymnasium Malmö A 173.0
Fordons- och transportprogrammet - lärling , Malmö Lärlingscenter A 122.0
Fordons- och transportprogrammet - Personbil , Praktiska Malmö Limhamn A 166.0
Fordons- och transportprogrammet - Personbil - lärling , Yrkesgymnasiet Malmö A 197.0
Fordons- och transportprogrammet - Transport , Agnesfrids gymnasium Malmö A 182.0
Handels- och administrationsprogrammet , Värnhemsskolan Malmö A 144.0
Handels- och administrationsprogrammet - Handel och service , Praktiska Malmö City A 172.0
Handels- och administrationsprogrammet - Handel och service , Fria Läroverken Malmö A 164.0
Handels- och administrationsprogrammet - Handel och service - Idrott, Malmö Idrottsgymnasium 160.0 203.0
Handels- och administrationsprogrammet - Handel och service , Design and Construction College Malmö A 205.0
Handels- och administrationsprogrammet - Handel och service - lärling , Yrkesgymnasiet Malmö A 197.0
Handels- och administrationsprogrammet - lärling , Malmö Lärlingscenter A 168.0
Hotell- och turismprogrammet , Värnhemsskolan Malmö A 182.0
Hotell- och turismprogrammet - Hotell och konferens , Fria Läroverken Malmö A 208.0
Hotell- och turismprogrammet - lärling , Malmö Lärlingscenter A 180.0
